Driver,PitLap,Stint,Compound,Year,GP
LEC,11.0,1.0,SOFT,2024,Bahrain
LEC,34.0,2.0,HARD,2024,Bahrain
RUS,11.0,1.0,SOFT,2024,Bahrain
RUS,31.0,2.0,HARD,2024,Bahrain
NOR,13.0,1.0,SOFT,2024,Bahrain
NOR,33.0,2.0,HARD,2024,Bahrain
HAM,12.0,1.0,SOFT,2024,Bahrain
HAM,33.0,2.0,HARD,2024,Bahrain
PIA,12.0,1.0,SOFT,2024,Bahrain
PIA,34.0,2.0,HARD,2024,Bahrain
ALO,15.0,1.0,SOFT,2024,Bahrain
ALO,41.0,2.0,HARD,2024,Bahrain
STR,9.0,1.0,SOFT,2024,Bahrain
STR,27.0,2.0,HARD,2024,Bahrain
ZHO,9.0,1.0,SOFT,2024,Bahrain
ZHO,28.0,2.0,HARD,2024,Bahrain
MAG,11.0,1.0,SOFT,2024,Bahrain
MAG,32.0,2.0,HARD,2024,Bahrain
RIC,13.0,1.0,SOFT,2024,Bahrain
RIC,35.0,2.0,HARD,2024,Bahrain
TSU,14.0,1.0,SOFT,2024,Bahrain
TSU,34.0,2.0,HARD,2024,Bahrain
ALB,15.0,1.0,SOFT,2024,Bahrain
ALB,36.0,2.0,HARD,2024,Bahrain
HUL,1.0,1.0,SOFT,2024,Bahrain
HUL,20.0,2.0,HARD,2024,Bahrain
HUL,41.0,3.0,HARD,2024,Bahrain
OCO,10.0,1.0,SOFT,2024,Bahrain
OCO,30.0,2.0,HARD,2024,Bahrain
GAS,12.0,1.0,SOFT,2024,Bahrain
GAS,31.0,2.0,HARD,2024,Bahrain
GAS,43.0,3.0,HARD,2024,Bahrain
BOT,12.0,1.0,SOFT,2024,Bahrain
BOT,30.0,2.0,HARD,2024,Bahrain
SAR,10.0,1.0,SOFT,2024,Bahrain
SAR,28.0,2.0,HARD,2024,Bahrain
SAR,40.0,3.0,HARD,2024,Bahrain
VER,55.0,1.0,MEDIUM,2023,Monaco
GAS,47.0,1.0,HARD,2023,Monaco
GAS,54.0,2.0,MEDIUM,2023,Monaco
PER,1.0,1.0,MEDIUM,2023,Monaco
PER,34.0,2.0,HARD,2023,Monaco
PER,53.0,3.0,MEDIUM,2023,Monaco
PER,57.0,4.0,INTERMEDIATE,2023,Monaco
PER,70.0,5.0,WET,2023,Monaco
ALO,54.0,1.0,HARD,2023,Monaco
ALO,55.0,2.0,MEDIUM,2023,Monaco
LEC,44.0,1.0,HARD,2023,Monaco
LEC,55.0,2.0,MEDIUM,2023,Monaco
STR,51.0,1.0,HARD,2023,Monaco
SAR,20.0,1.0,MEDIUM,2023,Monaco
SAR,23.0,2.0,HARD,2023,Monaco
SAR,52.0,3.0,SOFT,2023,Monaco
MAG,56.0,1.0,HARD,2023,Monaco
MAG,71.0,2.0,WET,2023,Monaco
DEV,53.0,1.0,MEDIUM,2023,Monaco
TSU,53.0,1.0,MEDIUM,2023,Monaco
ALB,18.0,1.0,MEDIUM,2023,Monaco
ALB,52.0,2.0,HARD,2023,Monaco
ZHO,1.0,1.0,SOFT,2023,Monaco
ZHO,52.0,2.0,HARD,2023,Monaco
HUL,1.0,1.0,MEDIUM,2023,Monaco
HUL,54.0,2.0,HARD,2023,Monaco
HUL,59.0,3.0,INTERMEDIATE,2023,Monaco
OCO,32.0,1.0,MEDIUM,2023,Monaco
OCO,54.0,2.0,HARD,2023,Monaco
NOR,50.0,1.0,MEDIUM,2023,Monaco
NOR,54.0,2.0,HARD,2023,Monaco
HAM,31.0,1.0,MEDIUM,2023,Monaco
HAM,54.0,2.0,HARD,2023,Monaco
SAI,33.0,1.0,HARD,2023,Monaco
SAI,55.0,2.0,MEDIUM,2023,Monaco
RUS,54.0,1.0,HARD,2023,Monaco
BOT,51.0,1.0,HARD,2023,Monaco
PIA,54.0,1.0,HARD,2023,Monaco
LEC,1.0,1.0,MEDIUM,2024,Monaco
